HUB,Numero_Tarefa,Nome_Tarefa,Status,Data,Ultima_Chamada
Omron,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Cuidado todos os dias,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Cuidado todos os dias,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Josapar,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Josapar,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Josapar,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Josapar,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Josapar,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Coty - Loja do Varejo,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
Coty - Loja do Varejo,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Hub ativo,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
AbasteceBem,undefined,undefined,Parada,18/01/2022 20:49:23,undefined
